"train_method (WP, NP or backprop)",d (n_ch),n_class,seed,Max Accuracy,num. of iterations to 20% testing accuracy,num. of iterations to 20% training accuracy,num. of iterations to 40% testing accuracy,num. of iterations to 40% training accuracy,num. of iterations to 60% testing accuracy,num. of iterations to 60% training accuracy,num. of iterations to 80% testing accuracy,num. of iterations to 80% training accuracy
weight,48,10,8,0.8667,17800,17400,30300,30300,76600,79300,1202300,1037100
node,48,10,8,0.8955,3300,3200,5600,5600,10100,9600,260900,218900
backprop,48,10,8,0.9234,68,68,133,132,360,330,6800,5700
weight,48,10,9,0.8774,10900,9800,31100,30800,65400,62700,1165700,1002200
node,48,10,9,0.9011,1800,1500,5200,5100,17400,17100,238100,207900
backprop,48,10,9,0.9212,41,41,108,106,477,366,6900,5900
weight,48,10,10,0.8083,7000,7400,22600,23200,81700,80600,1159800,993000
node,48,10,10,0.8622,639,651,4200,4200,17300,17300,247000,210200
backprop,48,10,10,0.9204,21,24,112,112,381,324,6900,5700
weight,64,10,1,0.8628,13500,11800,46800,46000,76800,74400,1309200,1105800
node,64,10,1,0.878,1500,1500,7100,7100,12400,12300,276800,221400
backprop,64,10,1,0.9188,40,32,175,174,248,243,5800,4900
weight,64,10,2,0.8637,21800,21500,48500,48100,89700,89600,1313200,1088600
node,64,10,2,0.8898,2700,2700,8300,8200,16600,15900,270400,217500
backprop,64,10,2,0.9215,51,51,185,185,349,347,6000,4800
weight,64,10,3,0.8522,15000,15100,47400,47400,87400,87700,1292600,1072900
node,64,10,3,0.8805,2800,2800,7800,7700,20700,19700,279800,218100
backprop,64,10,3,0.9235,67,67,160,158,324,322,6000,5000
weight,64,10,4,0.8545,8700,8500,34600,34000,123600,124500,1239600,1024700
node,64,10,4,0.8889,1700,1700,4500,4400,19200,19200,257500,216400
backprop,64,10,4,0.9232,41,40,124,123,524,524,5800,4900
weight,64,10,5,0.8486,21900,21500,42600,41800,105200,96400,1319800,1077500
node,64,10,5,0.8883,4900,4800,7400,7300,21600,21400,260700,205500
backprop,64,10,5,0.9224,95,95,155,149,341,340,5900,4800
weight,64,10,6,0.8517,8100,8100,50600,50800,92800,91200,1244600,1039300
node,64,10,6,0.8746,1700,1700,5100,5100,13900,13900,269300,215800
backprop,64,10,6,0.9218,45,45,114,114,303,303,5900,4700
weight,64,10,7,0.8587,21400,21900,50500,50200,90200,85800,1275800,1045800
node,64,10,7,0.8912,2900,3000,7400,7300,17300,16900,280000,231300
backprop,64,10,7,0.9235,90,90,235,228,401,347,5900,4700
weight,64,10,8,0.8578,13400,12900,37500,37200,115600,114100,1306600,1097400
node,64,10,8,0.8872,2700,2600,5900,5800,21300,21300,251300,208500
backprop,64,10,8,0.921,50,49,143,141,525,515,5900,4900
weight,64,10,9,0.8575,18500,18800,51400,51300,103000,101500,1206800,1066100
node,64,10,9,0.8852,3600,3600,8800,8800,16900,16200,248300,208100
backprop,64,10,9,0.9201,65,64,171,171,415,413,5600,4600
weight,64,10,10,0.8572,4900,5000,36800,35800,93400,93100,1378000,1162500
node,64,10,10,0.8883,718,721,3900,3500,13800,13700,268700,214700
backprop,64,10,10,0.9231,16,16,145,144,294,278,6100,5100
weight,32,8,1,0.893375,19500,19500,31000,31300,83200,85100,1021000,855900
node,32,8,1,0.90575,3400,3500,6000,6000,18100,18400,212700,187100
backprop,32,8,1,0.9115,136,136,226,228,530,536,8000,7000
weight,32,8,2,0.896875,16000,16100,28200,28000,78300,78800,937700,778900
node,32,8,2,0.9075,3900,3900,7200,7100,18100,18100,218900,182800
backprop,32,8,2,0.912375,113,110,194,192,511,511,7900,6300
weight,32,8,3,0.89225,20200,19800,33700,32900,87100,83200,1012600,855900
node,32,8,3,0.9095,3300,3300,6300,6100,18400,18100,232500,197800
backprop,32,8,3,0.91,98,93,260,254,499,491,8600,7100
weight,32,8,4,0.89375,1900,2000,8900,8800,71300,66700,919100,783500
node,32,8,4,0.907,542,572,2400,2400,16100,16100,240200,196000
backprop,32,8,4,0.912,13,14,65,65,522,518,8200,6800
weight,32,8,5,0.888625,6700,7100,22400,22400,65900,66400,937800,828600
node,32,8,5,0.90525,1500,1900,4300,4300,15300,12200,210000,178900
backprop,32,8,5,0.908375,46,51,126,126,412,408,7600,6500
weight,32,6,1,0.944333333,5900,5800,26500,26300,33400,32900,204500,155200
node,32,6,1,0.952833333,787,552,4100,4000,6400,6300,38800,30500
backprop,32,6,1,0.9545,33,31,161,161,235,231,1500,1200
weight,32,6,2,0.946333333,1,1,18300,17300,36900,36500,232000,189600
node,32,6,2,0.953,1,1,2800,2700,6800,6300,47800,38500
backprop,32,6,2,0.9555,1,1,106,104,285,284,2000,1500
weight,32,6,3,0.941666667,6500,6300,17000,16400,35700,34400,276300,219400
node,32,6,3,0.951166667,1600,1500,3700,3600,8000,7300,49300,39400
backprop,32,6,3,0.956333333,65,65,151,150,302,293,2200,1600
weight,32,6,4,0.944333333,3400,3400,18200,18400,30200,30100,222100,176200
node,32,6,4,0.952,647,624,3400,3400,5400,5400,43300,36400
backprop,32,6,4,0.954666667,39,39,104,100,188,186,1700,1500
weight,32,6,5,0.94,866,585,5700,5700,10800,10100,182800,151900
node,32,6,5,0.9535,160,130,1300,1300,6200,5600,39900,30900
backprop,32,6,5,0.954,8,7,44,44,93,85,1900,1300
weight,32,4,1,0.967,1,1,6700,6300,16800,16100,50200,44100
node,32,4,1,0.968,1,1,1600,1500,2700,2600,7900,7500
backprop,32,4,1,0.96975,1,1,57,55,111,110,222,219
weight,32,4,2,0.967,1,1,9100,9000,12400,12300,61000,57300
node,32,4,2,0.96725,1,1,1700,1600,2700,2500,14900,13000
backprop,32,4,2,0.96925,1,1,62,60,86,83,429,381
weight,32,4,3,0.9665,1,1,2300,2300,18400,16300,44800,39200
node,32,4,3,0.969,1,1,496,479,2900,2900,10300,9700
backprop,32,4,3,0.97,1,1,20,20,106,105,228,215
weight,32,4,4,0.96625,1,1,4900,4800,7100,7200,28100,26700
node,32,4,4,0.9655,1,1,891,894,1800,1700,9300,9200
backprop,32,4,4,0.96925,1,1,42,42,60,60,207,195
weight,32,4,5,0.967,1,1,6200,6200,8300,8400,43800,30700
node,32,4,5,0.969,1,1,1100,997,1500,1500,4500,4200
backprop,32,4,5,0.9695,1,1,40,40,53,53,166,162
weight,32,2,1,0.9955,1,1,1,1,2300,2200,2800,2800
node,32,2,1,0.997,1,1,1,1,441,437,626,615
backprop,32,2,1,0.9975,1,1,1,1,18,18,25,25
weight,32,2,2,0.9965,1,1,1,1,1300,1300,2300,2400
node,32,2,2,0.996,1,1,1,1,308,302,605,622
backprop,32,2,2,0.9975,1,1,1,1,11,11,21,21
weight,32,2,3,0.9965,1,1,1,1,2700,2700,3800,3900
node,32,2,3,0.9965,1,1,1,1,721,712,1100,1100
backprop,32,2,3,0.9975,1,1,1,1,28,28,40,40
weight,32,2,4,0.9965,1,1,1,1,8100,8000,11100,10900
node,32,2,4,0.997,1,1,1,1,1500,1500,1900,1900
backprop,32,2,4,0.998,1,1,1,1,63,64,89,89
weight,32,2,5,0.995,1,1,1,1,3200,3100,5400,5300
node,32,2,5,0.997,1,1,1,1,429,406,799,797
backprop,32,2,5,0.9975,1,1,1,1,24,24,42,42
