iteration,C_train,C_test,train_error,test_error
572.0,1.7634,1.5321,0.4398,0.4423
573.0,1.762,1.5304,0.4397,0.4404
574.0,1.7603,1.5286,0.4409,0.4439
575.0,1.7588,1.527,0.4407,0.4438
576.0,1.7574,1.5254,0.4396,0.4416
577.0,1.7557,1.5236,0.4382,0.4403
578.0,1.7541,1.5219,0.4382,0.4391
579.0,1.7524,1.5199,0.4393,0.4405
580.0,1.7509,1.5182,0.4376,0.4387
581.0,1.7493,1.5165,0.4357,0.436
582.0,1.7476,1.5147,0.4352,0.4375
583.0,1.7461,1.513,0.4346,0.434
584.0,1.7446,1.5114,0.4326,0.4336
585.0,1.743,1.5097,0.4327,0.4328
586.0,1.7415,1.5081,0.4323,0.4332
587.0,1.7399,1.5063,0.4349,0.4375
588.0,1.7383,1.5045,0.4348,0.4374
589.0,1.7369,1.5029,0.4367,0.4384
590.0,1.7354,1.5013,0.4346,0.4375
