iteration,cos_a
904.0,0.6832
905.0,0.6836
906.0,0.6839
907.0,0.6839
908.0,0.6841
909.0,0.6843
910.0,0.6845
911.0,0.6847
912.0,0.6851
913.0,0.6852
914.0,0.6856
915.0,0.6855
916.0,0.6859
917.0,0.6859
918.0,0.6861
919.0,0.6863
920.0,0.6861
921.0,0.6865
922.0,0.6868
923.0,0.6871
924.0,0.6876
925.0,0.6879
926.0,0.6879
927.0,0.6882
928.0,0.6888
929.0,0.689
930.0,0.6893
931.0,0.6894
932.0,0.6897
933.0,0.6896
934.0,0.6895
935.0,0.6896
936.0,0.6898
937.0,0.6902
938.0,0.6906
939.0,0.6906
940.0,0.6908
941.0,0.6909
942.0,0.6911
943.0,0.6911
944.0,0.6915
945.0,0.692
946.0,0.692
947.0,0.6921
948.0,0.6922
949.0,0.6922
950.0,0.6924
951.0,0.6926
952.0,0.6926
953.0,0.6929
954.0,0.693
955.0,0.6936
956.0,0.6938
957.0,0.6939
958.0,0.6941
959.0,0.6942
960.0,0.6943
961.0,0.6944
962.0,0.6945
963.0,0.6948
964.0,0.695
965.0,0.6947
966.0,0.695
967.0,0.6952
968.0,0.6953
969.0,0.6954
970.0,0.6958
971.0,0.696
972.0,0.6963
973.0,0.6963
974.0,0.6967
975.0,0.6973
976.0,0.6973
977.0,0.6976
978.0,0.6977
979.0,0.698
980.0,0.698
981.0,0.6982
982.0,0.6988
983.0,0.6988
984.0,0.6989
985.0,0.699
986.0,0.6988
987.0,0.6988
988.0,0.699
989.0,0.6992
990.0,0.6994
991.0,0.6995
992.0,0.6999
993.0,0.7
994.0,0.7001
995.0,0.7004
996.0,0.7009
997.0,0.7011
998.0,0.7012
999.0,0.7014
1000.0,0.7018
1100.0,0.7178
1200.0,0.7316
1300.0,0.7451
1400.0,0.756
1500.0,0.7675
1600.0,0.7765
1700.0,0.7863
1800.0,0.7943
1900.0,0.8018
2000.0,0.809
2100.0,0.8167
2200.0,0.8228
2300.0,0.8291
2400.0,0.8341
2500.0,0.8398
2600.0,0.8455
2700.0,0.8506
2800.0,0.8551
2900.0,0.8593
3000.0,0.8634
3100.0,0.867
3200.0,0.8701
3300.0,0.8725
3400.0,0.8751
3500.0,0.8779
3600.0,0.8812
3700.0,0.8839
3800.0,0.8861
3900.0,0.8892
4000.0,0.8915
4100.0,0.8942
4200.0,0.8959
4300.0,0.8981
4400.0,0.8994
4500.0,0.9013
4600.0,0.9032
4700.0,0.9052
4800.0,0.9073
4900.0,0.9089
5000.0,0.9103
5100.0,0.9123
5200.0,0.9139
5300.0,0.915
5400.0,0.9166
5500.0,0.9179
5600.0,0.9196
5700.0,0.9207
5800.0,0.9221
5900.0,0.9236
6000.0,0.9248
6100.0,0.9259
6200.0,0.927
6300.0,0.928
6400.0,0.9291
6500.0,0.9302
6600.0,0.9312
6700.0,0.9324
6800.0,0.9337
6900.0,0.9348
7000.0,0.9356
7100.0,0.9363
7200.0,0.937
7300.0,0.9377
7400.0,0.9386
7500.0,0.9393
7600.0,0.94
7700.0,0.9408
7800.0,0.9414
7900.0,0.9423
8000.0,0.943
8100.0,0.9439
8200.0,0.9445
8300.0,0.9455
8400.0,0.946
8500.0,0.9465
8600.0,0.9471
8700.0,0.9476
8800.0,0.9479
8900.0,0.9485
9000.0,0.949
9100.0,0.9495
9200.0,0.9499
9300.0,0.9506
9400.0,0.9511
9500.0,0.9516
9600.0,0.9522
9700.0,0.9526
9800.0,0.9531
9900.0,0.9535
10000.0,0.9539
10100.0,0.9543
10200.0,0.9549
10300.0,0.9553
10400.0,0.9557
10500.0,0.956
10600.0,0.9564
10700.0,0.9567
10800.0,0.9572
10900.0,0.9575
11000.0,0.9579
11100.0,0.9581
11200.0,0.9585
11300.0,0.9589
11400.0,0.9593
11500.0,0.9596
11600.0,0.96
11700.0,0.9604
11800.0,0.9608
11900.0,0.961
12000.0,0.9615
12100.0,0.9617
12200.0,0.962
12300.0,0.9622
12400.0,0.9625
12500.0,0.9628
12600.0,0.9631
12700.0,0.9634
12800.0,0.9636
12900.0,0.9639
13000.0,0.964
13100.0,0.9641
13200.0,0.9643
13300.0,0.9645
13400.0,0.9648
13500.0,0.965
13600.0,0.9653
13700.0,0.9655
13800.0,0.9656
13900.0,0.9658
14000.0,0.9661
14100.0,0.9663
14200.0,0.9664
14300.0,0.9667
14400.0,0.967
14500.0,0.9671
14600.0,0.9672
14700.0,0.9676
14800.0,0.9678
14900.0,0.9681
15000.0,0.9683
15100.0,0.9685
15200.0,0.9687
15300.0,0.9688
15400.0,0.969
15500.0,0.9692
15600.0,0.9693
15700.0,0.9696
15800.0,0.9697
15900.0,0.9698
16000.0,0.97
16100.0,0.9702
16200.0,0.9704
16300.0,0.9706
16400.0,0.9708
16500.0,0.971
16600.0,0.9712
16700.0,0.9714
16800.0,0.9715
16900.0,0.9716
17000.0,0.9718
17100.0,0.972
17200.0,0.9722
17300.0,0.9724
17400.0,0.9725
17500.0,0.9726
17600.0,0.9727
17700.0,0.9728
17800.0,0.973
17900.0,0.9731
18000.0,0.9732
18100.0,0.9734
18200.0,0.9734
18300.0,0.9736
18400.0,0.9737
18500.0,0.9738
18600.0,0.974
18700.0,0.9741
18800.0,0.9742
18900.0,0.9744
19000.0,0.9744
19100.0,0.9745
19200.0,0.9746
19300.0,0.9748
19400.0,0.9749
19500.0,0.975
19600.0,0.9752
19700.0,0.9753
19800.0,0.9754
19900.0,0.9755
20000.0,0.9755
20100.0,0.9756
20200.0,0.9758
20300.0,0.9759
20400.0,0.976
